Date,Predicted_Value,Lower_CI,Upper_CI
2021-01-01,22.048067161090266,5.572985250669255,38.52314907151128
2021-02-01,27.43850446404595,10.660523996073813,44.21648493201808
2021-03-01,30.76673430047375,13.900473536364423,47.63299506458308
2021-04-01,30.56851227580295,13.629774358032105,47.507250193573796
2021-05-01,37.855027947661966,20.84569946801839,54.864356427305545
2021-06-01,41.66823655944247,24.588779547715774,58.747693571169165
2021-07-01,50.68148583508538,33.53220554313671,67.83076612703405
2021-08-01,39.08318099313212,21.86436256235649,56.301999423907745
2021-09-01,44.45292635435597,27.164849704782036,61.7410030039299
2021-10-01,37.98673834382599,20.62967985059556,55.343796837056416
2021-11-01,29.749976552603435,12.324209281258174,47.17574382394869
2021-12-01,27.360431466876218,9.866225212415067,44.85463772133737
